time,price_import,price_export,commitment_i,commitment_e
1,31.5,31.5,0.0063338837334210455,0.0
2,59.89,59.89,0.0062523866028333435,0.0
3,29.32,29.32,0.004630685273949807,0.0
4,25.32,25.32,0.005285409412940349,0.0
5,14,14,0.005270758243396142,0.0
6,9.8,9.8,0.004956673796300434,0.0
7,14,14,0.004688374254028587,0.0
8,12.14,12.14,0.0049530110039142,0.0
9,9.8,9.8,0.005346761185405087,0.0
10,0,0,0.004246092073424002,0.0
11,9.8,9.8,0.0052203948480893745,0.0
12,9.8,9.8,0.006843011875069492,0.0
13,31.52,31.52,0.007353055714814612,0.0
14,31.52,31.52,0.007417154581568821,0.0
15,36.55,36.55,0.0037204813660392843,0.0
16,37.8,37.8,0.005229551829054549,0.0
17,59,59,0.0,0.008424422487708201
18,14,14,0.0,0.008062721739594648
19,38.48,38.48,0.0,0.02047043094703449
20,58.65,58.65,0.0,0.02384935692308263
21,50,50,0.0,0.03266844529037812
22,37.73,37.73,0.0,0.034541963595796595
23,58.5,58.5,0.0,0.04061487337171753
24,58.5,58.5,0.0,0.041381312678479755
25,39.64,39.64,0.0,0.04045004771435043
26,39.65,39.65,0.0,0.039220265170764435
27,38.61,38.61,0.0,0.033118968753850016
28,45,45,0.0,0.03396049530452461
29,38.11,38.11,0.0,0.022133338690260167
30,38.1,38.1,0.0,0.024893252753081248
31,39.62,39.62,0.0,0.012485543545640854
32,39.25,39.25,0.0,0.010749379954695975
33,39.18,39.18,0.0009358434546127004,0.0
34,58.45,58.45,0.004174667621898056,0.0
35,58.69,58.69,0.01222640098433409,0.0
36,68,68,0.013175064212297466,0.0
37,68,68,0.0160375364619257,0.0
38,69.9,69.9,0.02128357085671716,0.0
39,71.9,71.9,0.015889193370294135,0.0
40,71.9,71.9,0.015111765686374025,0.0
41,74.25,74.25,0.013885645935174173,0.0
42,69.9,69.9,0.013658552807244468,0.0
43,36.2,36.2,0.013234584588569501,0.0
44,33,33,0.011535048921484131,0.0
45,30.55,30.55,0.012174206192834342,0.0
46,32,32,0.01024940879401261,0.0
47,31.7,31.7,0.009552562542583437,0.0
48,31.7,31.7,0.009333710697522325,0.0
