time,price_import,price_export,commitment_i,commitment_e
1,34.650000000000006,31.5,0.0296429787795732,0.0
2,65.879,59.89,0.029177804146555544,0.0
3,32.252,29.32,0.022830184941688245,0.0
4,27.852000000000004,25.32,0.02472751139761628,0.0
5,15.400000000000002,14,0.024504081062070887,0.0
6,10.780000000000001,9.8,0.02336128983765282,0.0
7,15.400000000000002,14,0.021760649564987543,0.0
8,13.354000000000001,12.14,0.02297669663712628,0.0
9,10.780000000000001,9.8,0.02441251125242335,0.0
10,0.0,0,0.020236927932428164,0.0
11,10.780000000000001,9.8,0.024038906429054693,0.0
12,10.780000000000001,9.8,0.030672223440027607,0.0
13,34.672000000000004,31.52,0.03347059682290218,0.0
14,34.672000000000004,31.52,0.03384053885388341,0.0
15,40.205,36.55,0.017687624431802537,0.0
16,41.58,37.8,0.027654082513999093,0.0
17,64.9,59,0.0,0.0453160673990977
18,15.400000000000002,14,0.0,0.04527577668285214
19,42.328,38.48,0.0,0.10545545558417721
20,64.515,58.65,0.0,0.11838144991423057
21,55.00000000000001,50,0.0,0.16637135575507836
22,41.503,37.73,0.0,0.17268600982847312
23,64.35000000000001,58.5,0.0,0.20108363919681813
24,64.35000000000001,58.5,0.0,0.2077242817925633
25,43.604000000000006,39.64,0.0,0.20508707127467793
26,43.615,39.65,0.0,0.18981688981761088
27,42.471000000000004,38.61,0.0,0.1639978662889715
28,49.50000000000001,45,0.0,0.16986199689889467
29,41.921,38.11,0.0,0.11267481937690371
30,41.910000000000004,38.1,0.0,0.1266959886303595
31,43.582,39.62,0.0,0.0684026478078017
32,43.175000000000004,39.25,0.0,0.05557921166455703
33,43.098000000000006,39.18,0.001692210082312445,0.0
34,64.295,58.45,0.013457099226017216,0.0
35,64.559,58.69,0.05467450194522307,0.0
36,74.80000000000001,68,0.06397433181317379,0.0
37,74.80000000000001,68,0.07733986122954384,0.0
38,76.89000000000001,69.9,0.10254719842972161,0.0
39,79.09000000000002,71.9,0.07864381531894561,0.0
40,79.09000000000002,71.9,0.07324119654965419,0.0
41,81.67500000000001,74.25,0.06829642682860922,0.0
42,76.89000000000001,69.9,0.06517206492338383,0.0
43,39.82000000000001,36.2,0.06057892327138993,0.0
44,36.300000000000004,33,0.05566711868181824,0.0
45,33.605000000000004,30.55,0.0579746778849738,0.0
46,35.2,32,0.050887174618141844,0.0
47,34.870000000000005,31.7,0.04664566103519901,0.0
48,34.870000000000005,31.7,0.04281071740709921,0.0
