time,site,demand,generation,DUoS_import,DUoS_export,grid_limit
1,1,3.8e-05,0.0,1.888,0.501,0.1707671102360849
2,1,5.9999999999999995e-05,0.0,1.888,0.501,0.1707891102360849
3,1,3.2e-05,0.0,1.888,0.501,0.1707611102360849
4,1,4.0999999999999994e-05,0.0,1.888,0.501,0.1707701102360849
5,1,6.3e-05,0.0,1.888,0.501,0.1707921102360849
6,1,2.1000000000000002e-05,0.0,1.888,0.501,0.17075011023608488
7,1,1.9e-05,0.0,1.888,0.501,0.17074811023608488
8,1,5.4000000000000005e-05,0.0,1.888,0.501,0.1707831102360849
9,1,3.8e-05,0.0,1.888,0.501,0.1707671102360849
10,1,1.7e-05,0.0,1.888,0.501,0.17074611023608488
11,1,1.6e-05,0.0,1.888,0.501,0.17074511023608488
12,1,5.7e-05,0.0,1.888,0.501,0.1707861102360849
13,1,4.0999999999999994e-05,0.0,1.888,0.501,0.1707701102360849
14,1,1.9e-05,0.0,1.888,0.501,0.17074811023608488
15,1,0.00016,0.00013800000000000002,2.534,1.09,0.17088911023608488
16,1,0.00023899999999999998,0.00013800000000000002,2.534,1.09,0.17096811023608488
17,1,6.6e-05,0.000497,2.534,1.09,0.1712261102360849
18,1,2.2000000000000003e-05,0.000497,2.534,1.09,0.1712261102360849
19,1,1.8e-05,0.000901,2.534,1.09,0.1716301102360849
20,1,6.500000000000001e-05,0.000901,2.534,1.09,0.1716301102360849
21,1,0.00023999999999999998,0.001132,2.534,1.09,0.17186111023608489
22,1,5.2000000000000004e-05,0.001132,2.534,1.09,0.17186111023608489
23,1,5.9000000000000004e-05,0.001271,2.534,1.09,0.17200011023608489
24,1,7.5e-05,0.001271,2.534,1.09,0.17200011023608489
25,1,0.00010300000000000001,0.0013,2.534,1.09,0.1720291102360849
26,1,4.8e-05,0.0013,2.534,1.09,0.1720291102360849
27,1,4.7e-05,0.001157,2.534,1.09,0.17188611023608488
28,1,5.5e-05,0.001157,2.534,1.09,0.17188611023608488
29,1,0.000255,0.000985,2.534,1.09,0.1717141102360849
30,1,0.000274,0.000985,2.534,1.09,0.1717141102360849
31,1,0.000428,0.0005610000000000001,2.534,1.09,0.1712901102360849
32,1,9.5e-05,0.0005610000000000001,2.534,1.09,0.1712901102360849
33,1,2e-05,0.000228,9.075,7.04,0.1709571102360849
34,1,5.9999999999999995e-05,0.000228,9.075,7.04,0.1709571102360849
35,1,8.3e-05,3.5000000000000004e-05,9.075,7.04,0.1708121102360849
36,1,0.00019600000000000002,3.5000000000000004e-05,9.075,7.04,0.1709251102360849
37,1,0.000234,0.0,9.075,7.04,0.1709631102360849
38,1,0.00035600000000000003,0.0,9.075,7.04,0.1710851102360849
