time,price_import,price_export,commitment_i,commitment_e
1,31.5,31.5,0.0148214893897866,0.0
2,59.89,59.89,0.014588902073277772,0.0
3,29.32,29.32,0.011415092470844122,0.0
4,25.32,25.32,0.01236375569880814,0.0
5,14,14,0.012252040531035444,0.0
6,9.8,9.8,0.01168064491882641,0.0
7,14,14,0.010880324782493771,0.0
8,12.14,12.14,0.01148834831856314,0.0
9,9.8,9.8,0.012206255626211675,0.0
10,0,0,0.010118463966214082,0.0
11,9.8,9.8,0.012019453214527347,0.0
12,9.8,9.8,0.015336111720013803,0.0
13,31.52,31.52,0.01673529841145109,0.0
14,31.52,31.52,0.016920269426941706,0.0
15,36.55,36.55,0.008843812215901269,0.0
16,37.8,37.8,0.013827041256999547,0.0
17,59,59,0.0,0.02265803369954885
18,14,14,0.0,0.02263788834142607
19,38.48,38.48,0.0,0.052727727792088605
20,58.65,58.65,0.0,0.05919072495711528
21,50,50,0.0,0.08318567787753918
22,37.73,37.73,0.0,0.08634300491423656
23,58.5,58.5,0.0,0.10054181959840906
24,58.5,58.5,0.0,0.10386214089628165
25,39.64,39.64,0.0,0.10254353563733896
26,39.65,39.65,0.0,0.09490844490880544
27,38.61,38.61,0.0,0.08199893314448575
28,45,45,0.0,0.08493099844944733
29,38.11,38.11,0.0,0.056337409688451856
30,38.1,38.1,0.0,0.06334799431517975
31,39.62,39.62,0.0,0.03420132390390085
32,39.25,39.25,0.0,0.027789605832278515
33,39.18,39.18,0.0008461050411562225,0.0
34,58.45,58.45,0.006728549613008608,0.0
35,58.69,58.69,0.027337250972611533,0.0
36,68,68,0.031987165906586894,0.0
37,68,68,0.03866993061477192,0.0
38,69.9,69.9,0.051273599214860806,0.0
39,71.9,71.9,0.039321907659472806,0.0
40,71.9,71.9,0.036620598274827096,0.0
41,74.25,74.25,0.03414821341430461,0.0
42,69.9,69.9,0.032586032461691915,0.0
43,36.2,36.2,0.030289461635694966,0.0
44,33,33,0.02783355934090912,0.0
45,30.55,30.55,0.0289873389424869,0.0
46,32,32,0.025443587309070922,0.0
47,31.7,31.7,0.023322830517599504,0.0
48,31.7,31.7,0.021405358703549603,0.0
