time,site,demand,generation,DUoS_import,DUoS_export,grid_limit
1,1,3.80E-05,0,1.888,0.501,0.17076711
2,1,6.00E-05,0,1.888,0.501,0.17078911
3,1,3.20E-05,0,1.888,0.501,0.17076111
4,1,4.10E-05,0,1.888,0.501,0.17077011
5,1,6.30E-05,0,1.888,0.501,0.17079211
6,1,2.10E-05,0,1.888,0.501,0.17075011
7,1,1.90E-05,0,1.888,0.501,0.17074811
8,1,5.40E-05,0,1.888,0.501,0.17078311
9,1,3.80E-05,0,1.888,0.501,0.17076711
10,1,1.70E-05,0,1.888,0.501,0.17074611
11,1,1.60E-05,0,1.888,0.501,0.17074511
12,1,5.70E-05,0,1.888,0.501,0.17078611
13,1,4.10E-05,0,1.888,0.501,0.17077011
14,1,1.90E-05,0,1.888,0.501,0.17074811
15,1,0.00016,0.000138,2.534,1.09,0.17088911
16,1,0.000239,0.000138,2.534,1.09,0.17096811
17,1,6.60E-05,0.000497,2.534,1.09,0.17122611
18,1,2.20E-05,0.000497,2.534,1.09,0.17122611
19,1,1.80E-05,0.000901,2.534,1.09,0.17163011
20,1,6.50E-05,0.000901,2.534,1.09,0.17163011
21,1,0.00024,0.001132,2.534,1.09,0.17186111
22,1,5.20E-05,0.001132,2.534,1.09,0.17186111
23,1,5.90E-05,0.001271,2.534,1.09,0.17200011
24,1,7.50E-05,0.001271,2.534,1.09,0.17200011
25,1,0.000103,0.0013,2.534,1.09,0.17202911
26,1,4.80E-05,0.0013,2.534,1.09,0.17202911
27,1,4.70E-05,0.001157,2.534,1.09,0.17188611
28,1,5.50E-05,0.001157,2.534,1.09,0.17188611
29,1,0.000255,0.000985,2.534,1.09,0.17171411
30,1,0.000274,0.000985,2.534,1.09,0.17171411
31,1,0.000428,0.000561,2.534,1.09,0.17129011
32,1,9.50E-05,0.000561,2.534,1.09,0.17129011
33,1,2.00E-05,0.000228,9.075,7.04,0.17095711
34,1,6.00E-05,0.000228,9.075,7.04,0.17095711
35,1,8.30E-05,3.50E-05,9.075,7.04,0.17081211
36,1,0.000196,3.50E-05,9.075,7.04,0.17092511
37,1,0.000234,0,9.075,7.04,0.17096311
38,1,0.000356,0,9.075,7.04,0.17108511
39,1,0.000229,0,9.075,7.04,0.17095811
40,1,0.000234,0,9.075,7.04,0.17096311
41,1,0.000238,0,2.534,1.09,0.17096711
