time,price_import,price_export,commitment_i,commitment_e
1,34.65,31.5,0.00386974,0
2,65.879,59.89,0.003477821,0
3,32.252,29.32,0.002686658,0
4,27.852,25.32,0.00346958,0
5,15.4,14,0.00346958,0
6,10.78,9.8,0.003152749,0
7,15.4,14,0.002883533,0
8,13.354,12.14,0.002376237,0
9,10.78,9.8,0.003084987,0
10,10.78,9.8,0.002552966,0
11,10.78,9.8,0.003011731,0
12,10.78,9.8,0.003116121,0
13,34.672,31.52,0.003411891,0
14,34.672,31.52,0.003459507,0
15,40.205,36.55,0.002252617,0
16,41.58,37.8,0.002933897,0
17,64.9,59,0,0.003758941
18,15.4,14,0,0.003805641
19,42.328,38.48,0,0.009694496
20,64.515,58.65,0,0.010786008
21,55,50,0,0.016033874
22,41.503,37.73,0,0.016301258
23,64.35,58.5,0,0.019659122
24,64.35,58.5,0,0.019647218
25,43.604,39.64,0,0.01909139
26,43.615,39.65,0,0.017365299
27,42.471,38.61,0,0.014495501
28,49.5,45,0,0.015040341
29,41.921,38.11,0,0.009795223
30,41.91,38.1,0,0.010555252
31,43.582,39.62,0,0.005526238
32,43.175,39.25,0,0.004744232
33,43.098,39.18,3.48E-05,0
34,64.295,58.45,0.001422079,0
35,64.559,58.69,0.005754247,0
36,74.8,68,0.005117837,0
37,74.8,68,0.007612198,0
38,76.89,69.9,0.009107533,0
39,79.09,71.9,0.007482169,0
40,79.09,71.9,0.006669029,0
41,81.675,74.25,0.006487721,0
42,76.89,69.9,0.006734044,0
43,39.82,36.2,0.005866878,0
44,36.3,33,0.005409029,0
45,33.605,30.55,0.005959363,0
46,35.2,32,0.005692895,0
47,34.87,31.7,0.005376979,0
48,34.87,31.7,0.005348593,0
